priority,category,reason,condition,question_id,turn_index,unit_id,generated_action,match_strength,primary_hop_id,primary_gold_call,primary_score,best_candidate_hop_id,best_candidate_gold_call,best_candidate_score,schema_valid,schema_error,best_candidate_reason
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_55,0,u2,1. fillFuelTank(arg=fuelAmount=20),partial,h2,"fillFuelTank({""_arg0"": 15.0})",100,h2,"fillFuelTank({""_arg0"": 15.0})",100,False,syntax_error: invalid syntax; missing_required: fuelAmount,exact_tool_name;schema_invalid
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_55,0,u5,"3. startEngine(arg=ignitionMode=""START"")",partial,h5,"startEngine({""ignitionMode"": ""START""})",120,h5,"startEngine({""ignitionMode"": ""START""})",120,False,syntax_error: invalid syntax; missing_required: ignitionMode,"exact_tool_name;argument_overlap:ignitionmode,start;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_55,2,u1,"1. create_ticket(ticketTitle=""Tire Pressure Issue"", description=""Urgent tire pressure issue"", priorityScore=1)",partial,h7,"create_ticket({""title"": ""Tire Pressure Issue"", ""description"": ""Urgent tire pressure issue."", ""priority"": 5})",160,h7,"create_ticket({""title"": ""Tire Pressure Issue"", ""description"": ""Urgent tire pressure issue."", ""priority"": 5})",160,False,"missing_required: title; unknown_parameters: priorityScore, ticketTitle","exact_tool_name;parameter_overlap:description;argument_overlap:description,issue,pressure,priority,tire,tire pressure issue,urgent;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_55,3,u1,1. get_ticket(id=2),partial,h8,"get_ticket({""ticket_id"": 2})",110,h8,"get_ticket({""ticket_id"": 2})",110,False,missing_required: ticket_id; unknown_parameters: id,exact_tool_name;argument_overlap:get_ticket;schema_invalid
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_56,0,u2,"2. get_zipcode_based_on_city(result=$1, field=""zipcode"")",partial,h2,"get_zipcode_based_on_city({""_arg0"": ""Rivermist""})",100,h1,"get_zipcode_based_on_city({""_arg0"": ""San Francisco""})",100,False,"missing_required: city; unknown_parameters: field, result",exact_tool_name;schema_invalid;unresolved_input
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_62,0,u4,"4. send_message(receiver=Bob, message=""The distance from Rivermist to Stonebrook is $3.distance km."")",partial,h4,"send_message({""receiver_id"": ""USR002"", ""message"": ""The distance from Rivermist to Stonebrook is 750.0 km.""})",150,h4,"send_message({""receiver_id"": ""USR002"", ""message"": ""The distance from Rivermist to Stonebrook is 750.0 km.""})",150,False,"syntax_error: invalid syntax. Perhaps you forgot a comma?; missing_required: message, receiver_id","exact_tool_name;argument_overlap:distance,km.,message,rivermist,stonebrook;schema_invalid;unresolved_input"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_70,0,u1,"1. fillFuelTank(param={""fuelAmount"": 38})",partial,h2,"fillFuelTank({""fuelAmount"": 10})",110,h2,"fillFuelTank({""fuelAmount"": 10})",110,False,missing_required: fuelAmount; unknown_parameters: param,exact_tool_name;argument_overlap:fuelamount;schema_invalid
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_70,0,u2,"2. lockDoors(param={""unlock"": True, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",partial,h4,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,h4,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,False,"missing_required: door, unlock; unknown_parameters: param","exact_tool_name;argument_overlap:door,driver,passenger,rear_left,rear_right,unlock;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_70,0,u3,"3. startEngine(param={""ignitionMode"": ""START""})",partial,h6,"startEngine({""ignitionMode"": ""START""})",120,h6,"startEngine({""ignitionMode"": ""START""})",120,False,missing_required: ignitionMode; unknown_parameters: param,"exact_tool_name;argument_overlap:ignitionmode,start;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_71,0,u1,"1. get_zipcode_based_on_city(arg={""city"": ""Rivermist""})",partial,h2,"get_zipcode_based_on_city({""_arg0"": ""Stonebrook""})",120,h1,"get_zipcode_based_on_city({""_arg0"": ""Rivermist""})",120,False,missing_required: city; unknown_parameters: arg,"exact_tool_name;argument_overlap:get_zipcode_based_on_city,rivermist;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_71,0,u2,"2. get_zipcode_based_on_city(arg={""city"": ""Stonebrook""})",partial,h1,"get_zipcode_based_on_city({""_arg0"": ""Rivermist""})",100,h2,"get_zipcode_based_on_city({""_arg0"": ""Stonebrook""})",110,False,missing_required: city; unknown_parameters: arg,exact_tool_name;argument_overlap:stonebrook;schema_invalid
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_86,0,u2,"2. lockDoors(param={""unlock"": True, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",partial,h1,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,h1,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,False,"missing_required: door, unlock; unknown_parameters: param","exact_tool_name;argument_overlap:door,driver,passenger,rear_left,rear_right,unlock;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_86,0,u3,"3. startEngine(param={""ignitionMode"": ""START""})",partial,h4,"startEngine({""ignitionMode"": ""START""})",120,h4,"startEngine({""ignitionMode"": ""START""})",120,False,missing_required: ignitionMode; unknown_parameters: param,"exact_tool_name;argument_overlap:ignitionmode,start;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_87,2,u1,"1. lockDoors(param={""unlock"": True, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",partial,h4,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,h4,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,False,"missing_required: door, unlock; unknown_parameters: param","exact_tool_name;argument_overlap:door,driver,passenger,rear_left,rear_right,unlock;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_87,2,u2,"2. startEngine(param={""ignitionMode"": ""START""})",partial,h6,"startEngine({""ignitionMode"": ""START""})",120,h6,"startEngine({""ignitionMode"": ""START""})",120,False,missing_required: ignitionMode; unknown_parameters: param,"exact_tool_name;argument_overlap:ignitionmode,start;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_88,1,u1,"1. fillFuelTank(param={""fuelAmount"": 49.967411999999996})",partial,h2,"fillFuelTank({""fuelAmount"": 36.8})",110,h2,"fillFuelTank({""fuelAmount"": 36.8})",110,False,missing_required: fuelAmount; unknown_parameters: param,exact_tool_name;argument_overlap:fuelamount;schema_invalid
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_88,1,u3,"3. lockDoors(param={""unlock"": True, ""door"": ""all""})",partial,h3,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",120,h3,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",120,False,"missing_required: door, unlock; unknown_parameters: param","exact_tool_name;argument_overlap:door,unlock;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_97,0,u1,"1. estimate_distance(arg={""city1"": ""Rivermist"", ""city2"": ""Stonebrook""})",partial,h3,"estimate_distance({""cityA"": ""83214"", ""cityB"": ""74532""})",110,h3,"estimate_distance({""cityA"": ""83214"", ""cityB"": ""74532""})",110,False,"missing_required: cityA, cityB; unknown_parameters: arg",exact_tool_name;argument_overlap:estimate_distance;schema_invalid
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_143,1,u1,1. get_order_details(order_id=<specific_order_id>),partial,h2,"get_order_details({""order_id"": 12446})",130,h2,"get_order_details({""order_id"": 12446})",130,False,syntax_error: invalid syntax; missing_required: order_id,"exact_tool_name;parameter_overlap:order_id;argument_overlap:get_order_details,order_id;schema_invalid;unresolved_input"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_151,0,u3,"3. book_flight(card_id=""144756014165"", access_token=""abc123xyz"")",partial,h3,"book_flight({""access_token"": ""abc123xyz"", ""card_id"": ""144756014165"", ""travel_date"": ""2024-11-10"", ""travel_from"": ""SFO"", ""travel_to"": ""LAX"", ""travel_class"": ""business""})",160,h3,"book_flight({""access_token"": ""abc123xyz"", ""card_id"": ""144756014165"", ""travel_date"": ""2024-11-10"", ""travel_from"": ""SFO"", ""travel_to"": ""LAX"", ""travel_class"": ""business""})",160,False,"missing_required: travel_class, travel_date, travel_from, travel_to","exact_tool_name;parameter_overlap:access_token,card_id;argument_overlap:144756014165,abc123xyz,access_token,card_id;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_173,1,u2,"2. set_budget_limit(access_token='abc123xyz', budget_limit=10000.0, budget_currency='USD')",partial,h3,"set_budget_limit({""access_token"": ""abc123xyz"", ""budget_limit"": 10000.0})",160,h3,"set_budget_limit({""access_token"": ""abc123xyz"", ""budget_limit"": 10000.0})",160,False,unknown_parameters: budget_currency,"exact_tool_name;parameter_overlap:access_token,budget_limit;argument_overlap:10000.0,abc123xyz,access_token,budget_limit;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_185,0,u1,"1. get_flight_cost(arg={""travel_from"": ""Rivermist"", ""travel_to"": ""Stonebrook"", ""travel_date"": ""2024-12-15""})",partial,h2,"get_flight_cost({""travel_from"": ""RMS"", ""travel_to"": ""SBK"", ""travel_date"": ""2024-12-15"", ""travel_class"": ""business""})",140,h2,"get_flight_cost({""travel_from"": ""RMS"", ""travel_to"": ""SBK"", ""travel_date"": ""2024-12-15"", ""travel_class"": ""business""})",140,False,"missing_required: travel_class, travel_date, travel_from, travel_to; unknown_parameters: arg","exact_tool_name;argument_overlap:2024-12-15,travel_date,travel_from,travel_to;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_185,0,u2,"2. set_budget_limit(arg={""access_token"": ""12345-67890"", ""budget_limit"": 2000})",partial,h3,"set_budget_limit({""access_token"": ""12345-67890"", ""budget_limit"": 2000.0})",130,h3,"set_budget_limit({""access_token"": ""12345-67890"", ""budget_limit"": 2000.0})",130,False,"missing_required: access_token, budget_limit; unknown_parameters: arg","exact_tool_name;argument_overlap:12345-67890,access_token,budget_limit;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_39,0,u1,"1. mkdir(arg={""dir_name"": ""WebDevProjects""})",partial,h1,"mkdir({""dir_name"": ""WebDevProjects""})",130,h1,"mkdir({""dir_name"": ""WebDevProjects""})",130,False,missing_required: dir_name; unknown_parameters: arg,"exact_tool_name;argument_overlap:dir_name,mkdir,webdevprojects;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_39,2,u3,3. ls(file_name='index.html'),partial,h9,ls({}),100,h9,ls({}),100,False,unknown_parameters: file_name,exact_tool_name;schema_invalid
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_50,0,u1,"1. lockDoors(arg={""unlock"": True, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",partial,h1,"lockDoors({""unlock"": true, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,h1,"lockDoors({""unlock"": true, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,False,"missing_required: door, unlock; unknown_parameters: arg","exact_tool_name;argument_overlap:door,driver,lockdoors,passenger,rear_left,rear_right,unlock;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_50,0,u2,"2. setHeadlights(arg={""mode"": ""on""})",partial,h2,"setHeadlights({""mode"": ""on""})",110,h2,"setHeadlights({""mode"": ""on""})",110,False,missing_required: mode; unknown_parameters: arg,exact_tool_name;argument_overlap:mode;schema_invalid
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_55,0,u3,"4. fillFuelTank(arg={""fuelAmount"": 10})",partial,h2,"fillFuelTank({""_arg0"": 15.0})",100,h2,"fillFuelTank({""_arg0"": 15.0})",100,False,missing_required: fuelAmount; unknown_parameters: arg,exact_tool_name;schema_invalid
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_55,0,u5,"6. startEngine(arg={""ignitionMode"": ""START""})",partial,h5,"startEngine({""ignitionMode"": ""START""})",120,h5,"startEngine({""ignitionMode"": ""START""})",120,False,missing_required: ignitionMode; unknown_parameters: arg,"exact_tool_name;argument_overlap:ignitionmode,start;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_56,0,u1,1. get_zipcode_based_on_city(city=<zipcode for San Francisco>),partial,h1,"get_zipcode_based_on_city({""_arg0"": ""San Francisco""})",130,h1,"get_zipcode_based_on_city({""_arg0"": ""San Francisco""})",130,False,syntax_error: invalid syntax; missing_required: city,"exact_tool_name;argument_overlap:francisco,get_zipcode_based_on_city,san;schema_invalid;unresolved_input"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_56,0,u2,2. get_zipcode_based_on_city(city=<zipcode for Rivermist>),partial,h2,"get_zipcode_based_on_city({""_arg0"": ""Rivermist""})",100,h1,"get_zipcode_based_on_city({""_arg0"": ""San Francisco""})",100,False,syntax_error: invalid syntax; missing_required: city,exact_tool_name;schema_invalid;unresolved_input
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_62,0,u4,"4. send_message(receiver=Bob, message=""The distance from Rivermist to Stonebrook is <distance> km."", distance=""<distance from Rivermist to Stonebrook>"")",partial,h4,"send_message({""receiver_id"": ""USR002"", ""message"": ""The distance from Rivermist to Stonebrook is 750.0 km.""})",150,h4,"send_message({""receiver_id"": ""USR002"", ""message"": ""The distance from Rivermist to Stonebrook is 750.0 km.""})",150,False,"missing_required: receiver_id; unknown_parameters: distance, receiver","exact_tool_name;argument_overlap:distance,km.,message,rivermist,stonebrook;schema_invalid;unresolved_input"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_70,0,u1,"1. fillFuelTank(arg={""fuelAmount"": 38})",partial,h2,"fillFuelTank({""fuelAmount"": 10})",120,h2,"fillFuelTank({""fuelAmount"": 10})",120,False,missing_required: fuelAmount; unknown_parameters: arg,"exact_tool_name;argument_overlap:fillfueltank,fuelamount;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_70,0,u2,"2. startEngine(arg={""ignitionMode"": ""START""})",partial,h6,"startEngine({""ignitionMode"": ""START""})",120,h6,"startEngine({""ignitionMode"": ""START""})",120,False,missing_required: ignitionMode; unknown_parameters: arg,"exact_tool_name;argument_overlap:ignitionmode,start;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_71,0,u1,"1. get_zipcode_based_on_city({""city"": ""Rivermist""})",partial,h2,"get_zipcode_based_on_city({""_arg0"": ""Stonebrook""})",120,h1,"get_zipcode_based_on_city({""_arg0"": ""Rivermist""})",120,False,positional_args_not_schema_checked; missing_required: city,"exact_tool_name;argument_overlap:get_zipcode_based_on_city,rivermist;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_71,0,u2,"2. get_zipcode_based_on_city({""city"": ""Stonebrook""})",partial,h1,"get_zipcode_based_on_city({""_arg0"": ""Rivermist""})",100,h2,"get_zipcode_based_on_city({""_arg0"": ""Stonebrook""})",110,False,positional_args_not_schema_checked; missing_required: city,exact_tool_name;argument_overlap:stonebrook;schema_invalid
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_71,0,u3,"3. estimate_distance({""city1"": ""<zipcode for Rivermist>"", ""city2"": ""<zipcode for Stonebrook>"")",partial,h3,"estimate_distance({""cityA"": ""83214"", ""cityB"": ""74532""})",100,h3,"estimate_distance({""cityA"": ""83214"", ""cityB"": ""74532""})",100,False,"syntax_error: closing parenthesis ')' does not match opening parenthesis '{'; missing_required: cityA, cityB",exact_tool_name;schema_invalid;unresolved_input
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_87,2,u1,"1. lockDoors(arg={""unlock"": True, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",partial,h4,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,h4,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,False,"missing_required: door, unlock; unknown_parameters: arg","exact_tool_name;argument_overlap:door,driver,lockdoors,passenger,rear_left,rear_right,unlock;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_87,2,u2,"2. startEngine(arg={""ignitionMode"": ""START""})",partial,h6,"startEngine({""ignitionMode"": ""START""})",120,h6,"startEngine({""ignitionMode"": ""START""})",120,False,missing_required: ignitionMode; unknown_parameters: arg,"exact_tool_name;argument_overlap:ignitionmode,start;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_97,0,u1,"1. get_zipcode_based_on_city(arg={""city"": ""<zipcode for Rivermist>""})",partial,h2,"get_zipcode_based_on_city({""city"": ""Stonebrook""})",120,h1,"get_zipcode_based_on_city({""city"": ""Rivermist""})",120,False,missing_required: city; unknown_parameters: arg,"exact_tool_name;argument_overlap:city,rivermist;schema_invalid;unresolved_input"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_flat,multi_turn_base_97,0,u2,"2. get_zipcode_based_on_city(arg={""city"": ""<zipcode for Stonebrook>""})",partial,h1,"get_zipcode_based_on_city({""city"": ""Rivermist""})",110,h1,"get_zipcode_based_on_city({""city"": ""Rivermist""})",110,False,missing_required: city; unknown_parameters: arg,exact_tool_name;argument_overlap:city;schema_invalid;unresolved_input
